start_time, delta_time, cadence, resistance, energy, energy * delta_time
Subscribed
    0, 0, 0, 0, 0, 0
    0, 0, 0, 4, 0, 0
    0.3007813, 0.3007813, 24.93506, 4, 7.891625, 2.373653
    0.6064453, 0.3056641, 24.53674, 4, 7.438361, 2.273639
    0.8828125, 0.2763672, 27.13781, 4, 10.3982, 2.87372
    1.129883, 0.2470703, 30.35573, 4, 14.05997, 3.473801
    1.389648, 0.2597656, 28.87218, 4, 12.37179, 3.213767
    1.65918, 0.2695313, 27.82609, 4, 11.18141, 3.013739
    1.896484, 0.2373047, 31.60494, 4, 15.48148, 3.673828
    2.108398, 0.2119141, 35.3917, 4, 19.79056, 4.193898
    2.313477, 0.2050781, 36.57143, 4, 21.13301, 4.333918
    2.529297, 0.2158203, 34.75113, 4, 19.06163, 4.113888
    2.75, 0.2207031, 33.9823, 4, 18.18675, 4.013874
    2.959961, 0.2099609, 35.72093, 4, 20.1652, 4.233904
    3.176758, 0.2167969, 34.59459, 4, 18.8835, 4.093884
    3.40625, 0.2294922, 32.68085, 4, 16.7058, 3.83385
    3.625, 0.21875, 34.28571, 4, 18.53202, 4.053879
    3.832031, 0.2070313, 36.22641, 4, 20.7404, 4.293911
    4.036133, 0.2041016, 36.74641, 4, 21.33212, 4.35392
    4.254883, 0.21875, 34.28571, 4, 18.53202, 4.053879
    4.489258, 0.234375, 32.0, 4, 15.93103, 3.733836
    4.925781, 0.4365234, 17.18121, 4, 0, 0.0
    5.160156, 0.234375, 32.0, 4, 15.93103, 3.733836
    5.422852, 0.2626953, 28.55019, 4, 12.00538, 3.153758
    5.918945, 0.4960938, 15.11811, 4, 0, 0.0
    6.235352, 0.3164063, 23.7037, 4, 6.49042, 2.05361
    6.571289, 0.3359375, 22.32558, 4, 4.922213, 1.653556
    6.959961, 0.3886719, 19.29648, 4, 1.475307, 0.5734105
    7.428711, 0.46875, 16.0, 4, 0, 0.0
    7.992188, 0.5634766, 13.31023, 4, 0, 0.0    
    8.77832, 0.7861328, 9.540373, 4, 0, 0.0
    10.0957, 1.317383, 5.693106, 4, 0, 0.0
